date,state,area
01/01/2003,Johor,356922
01/01/2003,Kedah,344530
01/01/2003,Kelantan,629687
01/01/2003,Melaka,5468
01/01/2003,Negeri Sembilan,165639
01/01/2003,Pahang,1524132
01/01/2003,Perak,884205
01/01/2003,Perlis,10718
01/01/2003,Pulau Pinang,5139
01/01/2003,Sabah,3563186
01/01/2003,Sarawak,4836800
01/01/2003,Selangor,233781
01/01/2003,Terengganu,535929
01/01/2003,W.P. Kuala Lumpur,61
01/01/2003,W.P. Labuan,0
01/01/2003,W.P. Putrajaya,0
01/01/2004,Johor,355772
01/01/2004,Kedah,342613
01/01/2004,Kelantan,629367
01/01/2004,Melaka,5185
01/01/2004,Negeri Sembilan,162075
01/01/2004,Pahang,1524132
01/01/2004,Perak,884205
01/01/2004,Perlis,10718
01/01/2004,Pulau Pinang,5434
01/01/2004,Sabah,3543186
01/01/2004,Sarawak,4806300
01/01/2004,Selangor,233781
01/01/2004,Terengganu,530162
01/01/2004,W.P. Kuala Lumpur,61
01/01/2004,W.P. Labuan,0
01/01/2004,W.P. Putrajaya,0
01/01/2005,Johor,375864
01/01/2005,Kedah,342613
01/01/2005,Kelantan,629687
01/01/2005,Melaka,5185
01/01/2005,Negeri Sembilan,160151
01/01/2005,Pahang,1519501
01/01/2005,Perak,884205
01/01/2005,Perlis,10718
01/01/2005,Pulau Pinang,5434
01/01/2005,Sabah,3523186
01/01/2005,Sarawak,4779900
01/01/2005,Selangor,239782
01/01/2005,Terengganu,538063
01/01/2005,W.P. Kuala Lumpur,61
01/01/2005,W.P. Labuan,0
01/01/2005,W.P. Putrajaya,0
01/01/2006,Johor,391499
01/01/2006,Kedah,342613
01/01/2006,Kelantan,629687
01/01/2006,Melaka,5159
01/01/2006,Negeri Sembilan,156275
01/01/2006,Pahang,1519501
01/01/2006,Perak,884205
01/01/2006,Perlis,10718
01/01/2006,Pulau Pinang,5434
01/01/2006,Sabah,3503186
01/01/2006,Sarawak,4778300
01/01/2006,Selangor,235212
01/01/2006,Terengganu,545818
01/01/2006,W.P. Kuala Lumpur,61
01/01/2006,W.P. Labuan,0
01/01/2006,W.P. Putrajaya,0
01/01/2007,Johor,391499
01/01/2007,Kedah,342613
01/01/2007,Kelantan,629687
01/01/2007,Melaka,5079
01/01/2007,Negeri Sembilan,154185
01/01/2007,Pahang,1484099
01/01/2007,Perak,884205
01/01/2007,Perlis,10718
01/01/2007,Pulau Pinang,6098
01/01/2007,Sabah,3604867
01/01/2007,Sarawak,4692900
01/01/2007,Selangor,241568
01/01/2007,Terengganu,545818
01/01/2007,W.P. Kuala Lumpur,61
01/01/2007,W.P. Labuan,0
01/01/2007,W.P. Putrajaya,0
01/01/2008,Johor,441251
01/01/2008,Kedah,342613
01/01/2008,Kelantan,623849
01/01/2008,Melaka,5080
01/01/2008,Negeri Sembilan,155909
01/01/2008,Pahang,1562496
01/01/2008,Perak,873936
01/01/2008,Perlis,10586
01/01/2008,Pulau Pinang,6098
01/01/2008,Sabah,3604867
01/01/2008,Sarawak,4681543
01/01/2008,Selangor,241568
01/01/2008,Terengganu,544118
01/01/2008,W.P. Kuala Lumpur,61
01/01/2008,W.P. Labuan,0
01/01/2008,W.P. Putrajaya,0
01/01/2009,Johor,438751
01/01/2009,Kedah,342613
01/01/2009,Kelantan,623849
01/01/2009,Melaka,5080
01/01/2009,Negeri Sembilan,157058
01/01/2009,Pahang,1562902
01/01/2009,Perak,991436
01/01/2009,Perlis,10808
01/01/2009,Pulau Pinang,6098
01/01/2009,Sabah,3604894
01/01/2009,Sarawak,4583609
01/01/2009,Selangor,247793
01/01/2009,Terengganu,544118
01/01/2009,W.P. Kuala Lumpur,63
01/01/2009,W.P. Labuan,0
01/01/2009,W.P. Putrajaya,0
01/01/2010,Johor,432678
01/01/2010,Kedah,342613
01/01/2010,Kelantan,623849
01/01/2010,Melaka,5079
01/01/2010,Negeri Sembilan,153837
01/01/2010,Pahang,1562902
01/01/2010,Perak,987511
01/01/2010,Perlis,10808
01/01/2010,Pulau Pinang,6098
01/01/2010,Sabah,3606647
01/01/2010,Sarawak,
01/01/2010,Selangor,250129
01/01/2010,Terengganu,544118
01/01/2010,W.P. Kuala Lumpur,63
01/01/2010,W.P. Labuan,0
01/01/2010,W.P. Putrajaya,0
01/01/2011,Johor,432208
01/01/2011,Kedah,342613
01/01/2011,Kelantan,623849
01/01/2011,Melaka,4818
01/01/2011,Negeri Sembilan,153459
01/01/2011,Pahang,1562902
01/01/2011,Perak,986262
01/01/2011,Perlis,10799
01/01/2011,Pulau Pinang,6098
01/01/2011,Sabah,3606647
01/01/2011,Sarawak,
01/01/2011,Selangor,250129
01/01/2011,Terengganu,539234
01/01/2011,W.P. Kuala Lumpur,63
01/01/2011,W.P. Labuan,0
01/01/2011,W.P. Putrajaya,0
01/01/2012,Johor,432208
01/01/2012,Kedah,325463
01/01/2012,Kelantan,623849
01/01/2012,Melaka,5151
01/01/2012,Negeri Sembilan,154578
01/01/2012,Pahang,1562902
01/01/2012,Perak,983136
01/01/2012,Perlis,10799
01/01/2012,Pulau Pinang,6098
01/01/2012,Sabah,3609249
01/01/2012,Sarawak,4337164
01/01/2012,Selangor,250129
01/01/2012,Terengganu,539232
01/01/2012,W.P. Kuala Lumpur,68
01/01/2012,W.P. Labuan,0
01/01/2012,W.P. Putrajaya,0
01/01/2013,Johor,432209
01/01/2013,Kedah,341976
01/01/2013,Kelantan,623849
01/01/2013,Melaka,5151
01/01/2013,Negeri Sembilan,154676
01/01/2013,Pahang,1562902
01/01/2013,Perak,1003616
01/01/2013,Perlis,10799
01/01/2013,Pulau Pinang,6060
01/01/2013,Sabah,3614730
01/01/2013,Sarawak,4368066
01/01/2013,Selangor,250129
01/01/2013,Terengganu,544855
01/01/2013,W.P. Kuala Lumpur,68
01/01/2013,W.P. Labuan,0
01/01/2013,W.P. Putrajaya,0
01/01/2014,Johor,432184
01/01/2014,Kedah,341976
01/01/2014,Kelantan,623849
01/01/2014,Melaka,5093
01/01/2014,Negeri Sembilan,155825
01/01/2014,Pahang,1562900
01/01/2014,Perak,999967
01/01/2014,Perlis,10799
01/01/2014,Pulau Pinang,6060
01/01/2014,Sabah,3615066
01/01/2014,Sarawak,4352828
01/01/2014,Selangor,250129
01/01/2014,Terengganu,544937
01/01/2014,W.P. Kuala Lumpur,68
01/01/2014,W.P. Labuan,0
01/01/2014,W.P. Putrajaya,0
01/01/2015,Johor,414637
01/01/2015,Kedah,341976
01/01/2015,Kelantan,623849
01/01/2015,Melaka,5104
01/01/2015,Negeri Sembilan,155708
01/01/2015,Pahang,1563993
01/01/2015,Perak,999488
01/01/2015,Perlis,10799
01/01/2015,Pulau Pinang,6060
01/01/2015,Sabah,3551247
01/01/2015,Sarawak,4320302
01/01/2015,Selangor,250129
01/01/2015,Terengganu,544937
01/01/2015,W.P. Kuala Lumpur,68
01/01/2015,W.P. Labuan,0
01/01/2015,W.P. Putrajaya,0
01/01/2016,Johor,414628
01/01/2016,Kedah,341976
01/01/2016,Kelantan,635437
01/01/2016,Melaka,5137
01/01/2016,Negeri Sembilan,155650
01/01/2016,Pahang,1559913
01/01/2016,Perak,999473
01/01/2016,Perlis,10799
01/01/2016,Pulau Pinang,6060
01/01/2016,Sabah,3540274
01/01/2016,Sarawak,4317939
01/01/2016,Selangor,250129
01/01/2016,Terengganu,544883
01/01/2016,W.P. Kuala Lumpur,68
01/01/2016,W.P. Labuan,0
01/01/2016,W.P. Putrajaya,0
01/01/2017,Johor,332749
01/01/2017,Kedah,341976
01/01/2017,Kelantan,613275
01/01/2017,Melaka,5138
01/01/2017,Negeri Sembilan,155650
01/01/2017,Pahang,1558898
01/01/2017,Perak,995216
01/01/2017,Perlis,10615
01/01/2017,Pulau Pinang,5101
01/01/2017,Sabah,3540749
01/01/2017,Sarawak,4274825
01/01/2017,Selangor,250129
01/01/2017,Terengganu,542411
01/01/2017,W.P. Kuala Lumpur,68
01/01/2017,W.P. Labuan,0
01/01/2017,W.P. Putrajaya,0
01/01/2018,Johor,332749
01/01/2018,Kedah,341976
01/01/2018,Kelantan,613275
01/01/2018,Melaka,5199
01/01/2018,Negeri Sembilan,155549
01/01/2018,Pahang,1559385
01/01/2018,Perak,988914
01/01/2018,Perlis,10615
01/01/2018,Pulau Pinang,5101
01/01/2018,Sabah,3540749
01/01/2018,Sarawak,4209053
01/01/2018,Selangor,250210
01/01/2018,Terengganu,540309
01/01/2018,W.P. Kuala Lumpur,68
01/01/2018,W.P. Labuan,0
01/01/2018,W.P. Putrajaya,0
01/01/2019,Johor,334292
01/01/2019,Kedah,341976
01/01/2019,Kelantan,629775
01/01/2019,Melaka,5199
01/01/2019,Negeri Sembilan,155492
01/01/2019,Pahang,1550687
01/01/2019,Perak,988591
01/01/2019,Perlis,10628
01/01/2019,Pulau Pinang,5101
01/01/2019,Sabah,3541266
01/01/2019,Sarawak,3964880
01/01/2019,Selangor,250208
01/01/2019,Terengganu,540309
01/01/2019,W.P. Kuala Lumpur,68
01/01/2019,W.P. Labuan,0
01/01/2019,W.P. Putrajaya,0
01/01/2020,Johor,334292
01/01/2020,Kedah,341976
01/01/2020,Kelantan,629881
01/01/2020,Melaka,5199
01/01/2020,Negeri Sembilan,155143
01/01/2020,Pahang,1545610
01/01/2020,Perak,987632
01/01/2020,Perlis,10629
01/01/2020,Pulau Pinang,5387
01/01/2020,Sabah,3574468
01/01/2020,Sarawak,3964880
01/01/2020,Selangor,250208
01/01/2020,Terengganu,540309
01/01/2020,W.P. Kuala Lumpur,68
01/01/2020,W.P. Labuan,0
01/01/2020,W.P. Putrajaya,0
01/01/2021,Johor,334502
01/01/2021,Kedah,341976
01/01/2021,Kelantan,629881
01/01/2021,Melaka,5199
01/01/2021,Negeri Sembilan,155143
01/01/2021,Pahang,1588298
01/01/2021,Perak,986848
01/01/2021,Perlis,10629
01/01/2021,Pulau Pinang,5387
01/01/2021,Sabah,3574468
01/01/2021,Sarawak,3964880
01/01/2021,Selangor,250208
01/01/2021,Terengganu,540309
01/01/2021,W.P. Kuala Lumpur,68
01/01/2021,W.P. Labuan,0
01/01/2021,W.P. Putrajaya,0
